STATION,NAME,DATE,AWND,SNOW,YEAR,MONTH
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2017-03-08,28.19,0.0,2017,3
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2017-12-05,27.29,0.0,2017,12
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2016-03-16,25.28,0.0,2016,3
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2016-02-19,24.61,0.0,2016,2
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2017-03-07,21.25,0.0,2017,3
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2017-01-10,20.8,1.3,2017,1
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2017-01-04,20.58,1.1,2017,1
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2016-11-19,19.69,0.8,2016,11
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2017-05-18,19.69,0.0,2017,5
USW00094860,"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",2017-04-06,19.01,0.4,2017,4
